page,block_id,block_type,bbox,source_image_path,text_pdf_layer,text_ocr_basic,text_ocr_vision,text_merged,normalized_text,has_dimension_signal,has_material_signal,has_structure_signal,rule_likelihood,needs_manual_review,manual_note
86,p086-b02,body_text,"{""x"": 109, ""y"": 900, ""w"": 557, ""h"": 63}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p086-b02.png,,,流回侧，四盖页-鄶疒就页E,流回侧，四盖页-鄶疒就页E,流回侧，四盖页-鄶疒就页E,False,False,False,0.0,False,
86,p086-b03,body_text,"{""x"": 109, ""y"": 1482, ""w"": 603, ""h"": 63}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p086-b03.png,,,熟回侧，阒盖贰-敔风升廷豫S,熟回侧，阒盖贰-敔风升廷豫S,熟回侧，阒盖贰-敔风升廷豫S,False,False,False,0.0,False,
87,p087-b01,body_text,"{""x"": 1542, ""y"": 30, ""w"": 373, ""h"": 54}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p087-b01.png,,"Va
Sve",朵出不古,"Va
Sve
朵出不古","Va
Sve
朵出不古",False,False,False,0.0,False,
87,p087-b02,body_text,"{""x"": 2348, ""y"": 30, ""w"": 411, ""h"": 56}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p087-b02.png,,"~
ESV",出不本式,"~
ESV
出不本式","~
ESV
出不本式",False,False,False,0.0,False,
87,p087-b03,body_text,"{""x"": 212, ""y"": 103, ""w"": 321, ""h"": 220}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p087-b03.png,,"~
>
ER
一
pad",,"~
>
ER
一
pad","~
>
ER
一
pad",False,False,False,0.0,False,
87,p087-b04,body_text,"{""x"": 176, ""y"": 603, ""w"": 1164, ""h"": 143}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p087-b04.png,,"HE?
*
WIENE
OSTRYE)
\IME
GT
SEE
(2SHEYE)
Seas
SE
MESES
Ui”
Fat
LESS
SBE
AACS
e","。宇燕，（琳期支）页\（ 蔀）豆侧
，盖丸述.硒四 味要需，饱5香 委高合球野車不味","HE?
*
WIENE
OSTRYE)
\IME
GT
SEE
(2SHEYE)
Seas
SE
MESES
Ui”
Fat
LESS
SBE
AACS
e
。宇燕，（琳期支）页\（ 蔀）豆侧
，盖丸述.硒四 味要需，饱5香 委高合球野車不味","HE?
*
WIENE
OSTRYE)
\IME
GT
SEE
(2SHEYE)
Seas
SE
MESES
Ui”
Fat
LESS
SBE
AACS
e
。宇燕，（琳期支）页\（ 蔀）豆侧
，盖丸述.硒四 味要需，饱5香 委高合球野車不味",False,False,False,0.08,False,
87,p087-b05,body_text,"{""x"": 1538, ""y"": 720, ""w"": 1220, ""h"": 773}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p087-b05.png,,"ae
3S
HARE
CBE
7
BRI
ETE
Be
\_
*
RES
See
(S\EV
RF)
Ve
)","宜单用
歌出不，岬熟贰，（保出不本\式） 马美 耕","ae
3S
HARE
CBE
7
BRI
ETE
Be
\_
*
RES
See
(S\EV
RF)
Ve
)
宜单用
歌出不，岬熟贰，（保出不本\式） 马美 耕","ae
3S
HARE
CBE
7
BRI
ETE
Be
\_
*
RES
See
(S\EV
RF)
Ve
)
宜单用
歌出不，岬熟贰，（保出不本\式） 马美 耕",False,False,False,0.08,False,
87,p087-b06,body_text,"{""x"": 2340, ""y"": 728, ""w"": 147, ""h"": 42}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p087-b06.png,,Et,出不式,"Et
出不式","Et
出不式",False,False,False,0.0,False,
87,p087-b07,body_text,"{""x"": 109, ""y"": 961, ""w"": 1017, ""h"": 622}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p087-b07.png,,"_
=
bod
一
[上
~
-一
|
eee
-
ee
\_
0084
GTIME”
BAERE
EYE
(i
ea
HMI","；耕育单.热页回侧，tAOOT1干大 高本马紥鎏邮单
：郬郝芸","_
=
bod
一
[上
~
-一
|
eee
-
ee
\_
0084
GTIME”
BAERE
EYE
(i
ea
HMI
；耕育单.热页回侧，tAOOT1干大 高本马紥鎏邮单
：郬郝芸","_
=
bod
一
[上
~
-一
|
eee
-
ee
\_
0084
GTIME”
BAERE
EYE
(i
ea
HMI
；耕育单.热页回侧，tAOOT1干大 高本马紥鎏邮单
：郬郝芸",False,False,False,0.08,False,
88,p088-b01,body_text,"{""x"": 723, ""y"": 107, ""w"": 1902, ""h"": 443}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p088-b01.png,,"=
人
ae
SS
el
Se
ele
iE
BEAR
3053(
005
Seer
aes
ee
I}
{ele
PE
Fae
S053C
1003
as
te
3053!
{00%
‘ele
Bie
30530
1002
Le
i
#s
BRER
A
an","）ESOS
S0OM！
JESOS
E00M
兆古黑
IESOS
A00
OESOS
木白
2001
坚类
麻品奇
江","=
人
ae
SS
el
Se
ele
iE
BEAR
3053(
005
Seer
aes
ee
I}
{ele
PE
Fae
S053C
1003
as
te
3053!
{00%
‘ele
Bie
30530
1002
Le
i
#s
BRER
A
an
）ESOS
S0OM！
JESOS
E00M
兆古黑
IESOS
A00
OESOS
木白
2001
坚类
麻品奇
江","=
人
ae
SS
el
Se
ele
iE
BEAR
3053(
005
Seer
aes
ee
I}
{ele
PE
Fae
S053C
1003
as
te
3053!
{00%
‘ele
Bie
30530
1002
Le
i
#s
BRER
A
an
）ESOS
S0OM！
JESOS
E00M
兆古黑
IESOS
A00
OESOS
木白
2001
坚类
麻品奇
江",False,False,False,0.08,False,
88,p088-b02,body_text,"{""x"": 1394, ""y"": 108, ""w"": 552, ""h"": 38}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p088-b02.png,,"ae
3053(
4001","）ESOS
FOC~","ae
3053(
4001
）ESOS
FOC~","ae
3053(
4001
）ESOS
FOC~",False,False,False,0.08,False,
88,p088-b03,body_text,"{""x"": 2187, ""y"": 109, ""w"": 283, ""h"": 117}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p088-b03.png,,"+E
Fe","木白
木兆婴","+E
Fe
木白
木兆婴","+E
Fe
木白
木兆婴",False,False,False,0.0,False,
88,p088-b04,body_text,"{""x"": 1995, ""y"": 112, ""w"": 56, ""h"": 27}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p088-b04.png,,ele,,ele,ele,False,False,False,0.0,False,
88,p088-b05,body_text,"{""x"": 84, ""y"": 209, ""w"": 2676, ""h"": 1391}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p088-b05.png,,"AV
Wye
‘TN
Ml
ive
Ci
UAVS
Le’
AML
EMEA
Rahs
BY
VEE:
a
二
vi:
ai
eS
ae
-
(NAIM
1
olVuU
HM’
eH
SESE
bes?
Pb
HARA
te-MEeMESR
WAFS’
BRLeVE-HSMSS’
MESES:
S-)
MEME
WU
eb
Hy
BSE","。宝固不心爆女马本单胡出，单不号能同不比代，合联本单只青不映处类
；用刺开代叵马本单：彭备中同合玉需，朱需啪用卦
开代 树单育具病号能一同时：宝固及爆间乡树单具宿号能一同，具内号能一同成单不常配，产主勇六成，胡时 个一妳合引本单个多由
即总 合B本单","AV
Wye
‘TN
Ml
ive
Ci
UAVS
Le’
AML
EMEA
Rahs
BY
VEE:
a
二
vi:
ai
eS
ae
-
(NAIM
1
olVuU
HM’
eH
SESE
bes?
Pb
HARA
te-MEeMESR
WAFS’
BRLeVE-HSMSS’
MESES:
S-)
MEME
WU
eb
Hy
BSE
。宝固不心爆女马本单胡出，单不号能同不比代，合联本单只青不映处类
；用刺开代叵马本单：彭备中同合玉需，朱需啪用卦
开代 树单育具病号能一同时：宝固及爆间乡树单具宿号能一同，具内号能一同成单不常配，产主勇六成，胡时 个一妳合引本单个多由
即总 合B本单","AV
Wye
‘TN
Ml
ive
Ci
UAVS
Le’
AML
EMEA
Rahs
BY
VEE:
a
二
vi:
ai
eS
ae
-
(NAIM
1
olVuU
HM’
eH
SESE
bes?
Pb
HARA
te-MEeMESR
WAFS’
BRLeVE-HSMSS’
MESES:
S-)
MEME
WU
eb
Hy
BSE
。宝固不心爆女马本单胡出，单不号能同不比代，合联本单只青不映处类
；用刺开代叵马本单：彭备中同合玉需，朱需啪用卦
开代 树单育具病号能一同时：宝固及爆间乡树单具宿号能一同，具内号能一同成单不常配，产主勇六成，胡时 个一妳合引本单个多由
即总 合B本单",False,False,False,0.08,False,
88,p088-b06,body_text,"{""x"": 2075, ""y"": 799, ""w"": 483, ""h"": 189}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p088-b06.png,,"=|
[|
|",,"=|
[|
|","=|
[|
|",False,False,False,0.0,False,
89,p089-b01,body_text,"{""x"": 263, ""y"": 135, ""w"": 610, ""h"": 309}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p089-b01.png,,"BYE
UAH
一
人
If
a",醂甫辞肜贷斌开,"BYE
UAH
一
人
If
a
醂甫辞肜贷斌开","BYE
UAH
一
人
If
a
醂甫辞肜贷斌开",False,False,False,0.08,False,
89,p089-b02,body_text,"{""x"": 1867, ""y"": 138, ""w"": 808, ""h"": 302}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p089-b02.png,,"SNE
EY
it
ce
上
-",朴驻立邮个S,"SNE
EY
it
ce
上
-
朴驻立邮个S","SNE
EY
it
ce
上
-
朴驻立邮个S",False,False,False,0.0,False,
89,p089-b03,body_text,"{""x"": 317, ""y"": 553, ""w"": 508, ""h"": 372}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p089-b03.png,,"ime
Ly
anes
ama",,"ime
Ly
anes
ama","ime
Ly
anes
ama",False,False,False,0.0,False,
89,p089-b04,body_text,"{""x"": 2297, ""y"": 735, ""w"": 380, ""h"": 248}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p089-b04.png,,"reel
--
aera
---
|",,"reel
--
aera
---
|","reel
--
aera
---
|",False,False,False,0.0,False,
89,p089-b05,body_text,"{""x"": 408, ""y"": 1031, ""w"": 73, ""h"": 13}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p089-b05.png,,"mms
-",,"mms
-","mms
-",False,False,False,0.0,False,
89,p089-b06,body_text,"{""x"": 134, ""y"": 1147, ""w"": 2553, ""h"": 426}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p089-b06.png,,"\
SLED
Ep
MS
B
oe
BS
BE”
aE’
HLUUH”
UR
EES
See
YEH
ES
HSB
SEE
Se
Ee
AEE
YE
UE
#6
HSE","。女园\女直斌叵
。朱需帕女假系员突琳怎好变司市具家膜司宝裁部，用 开代叵，本马邮单帕蓥宗个s成伏叵本时，如胜琳本单胜S由甫芽胜代姑开
醂甫辞B贷效开","\
SLED
Ep
MS
B
oe
BS
BE”
aE’
HLUUH”
UR
EES
See
YEH
ES
HSB
SEE
Se
Ee
AEE
YE
UE
#6
HSE
。女园\女直斌叵
。朱需帕女假系员突琳怎好变司市具家膜司宝裁部，用 开代叵，本马邮单帕蓥宗个s成伏叵本时，如胜琳本单胜S由甫芽胜代姑开
醂甫辞B贷效开","\
SLED
Ep
MS
B
oe
BS
BE”
aE’
HLUUH”
UR
EES
See
YEH
ES
HSB
SEE
Se
Ee
AEE
YE
UE
#6
HSE
。女园\女直斌叵
。朱需帕女假系员突琳怎好变司市具家膜司宝裁部，用 开代叵，本马邮单帕蓥宗个s成伏叵本时，如胜琳本单胜S由甫芽胜代姑开
醂甫辞B贷效开",False,False,False,0.08,False,
90,p090-b01,dimension_note,"{""x"": 1938, ""y"": 96, ""w"": 729, ""h"": 113}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p090-b01.png,,"ER
WE
JENSEN
RW
Hee
<eoowmy}®
Wee’
HEMI
ole
Bede","财昙坚J母代贱常用卦必事要心非。彭备来
封需，对鍌用卦下，胡mm0od≥或一卦妹司堡」","ER
WE
JENSEN
RW
Hee
<eoowmy}®
Wee’
HEMI
ole
Bede
财昙坚J母代贱常用卦必事要心非。彭备来
封需，对鍌用卦下，胡mm0od≥或一卦妹司堡」","ER
WE
JENSEN
RW
Hee
<eoowmy}®
Wee’
HEMI
ole
Bede
财昙坚J母代贱常用卦必事要心非。彭备来
封需，对鍌用卦下，胡mm0od≥或一卦妹司堡」",True,False,False,0.36,False,
90,p090-b02,dimension_note,"{""x"": 911, ""y"": 166, ""w"": 720, ""h"": 970}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p090-b02.png,,"SHUR
Hee
<
‘a,
一:
-一
fe
*Bitg
WS)
四
Sse
NYY
5
Cou,
Yo
ee
ese
vf
oN
hte,
yf
ra
ae
Yo,
Ng
NV
Cw
yw
00","J避 财常
003≥
mOOP≥：本马出其
：醂
mnOoP≥：本封出其
mmOOrP≥
mmOOrP≥：琳
：本耳出其
a.0》，本辣出其》、
mm0oF≥
mm00P≥","SHUR
Hee
<
‘a,
一:
-一
fe
*Bitg
WS)
四
Sse
NYY
5
Cou,
Yo
ee
ese
vf
oN
hte,
yf
ra
ae
Yo,
Ng
NV
Cw
yw
00
J避 财常
003≥
mOOP≥：本马出其
：醂
mnOoP≥：本封出其
mmOOrP≥
mmOOrP≥：琳
：本耳出其
a.0》，本辣出其》、
mm0oF≥
mm00P≥","SHUR
Hee
<
‘a,
一:
-一
fe
*Bitg
WS)
四
Sse
NYY
5
Cou,
Yo
ee
ese
vf
oN
hte,
yf
ra
ae
Yo,
Ng
NV
Cw
yw
00
J避 财常
003≥
mOOP≥：本马出其
：醂
mnOoP≥：本封出其
mmOOrP≥
mmOOrP≥：琳
：本耳出其
a.0》，本辣出其》、
mm0oF≥
mm00P≥",True,False,False,0.36,False,
90,p090-b03,body_text,"{""x"": 322, ""y"": 174, ""w"": 260, ""h"": 52}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p090-b03.png,,"eS
YB
UWE",醂甫辞本鍌斌开,"eS
YB
UWE
醂甫辞本鍌斌开","eS
YB
UWE
醂甫辞本鍌斌开",False,False,False,0.0,False,
90,p090-b04,dimension_note,"{""x"": 2000, ""y"": 528, ""w"": 120, ""h"": 114}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p090-b04.png,,,mm0≥,mm0≥,mm0≥,True,False,False,0.28,False,
90,p090-b05,body_text,"{""x"": 422, ""y"": 659, ""w"": 189, ""h"": 143}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p090-b05.png,,"pl
|
--
叶
bo
加
图
see",,"pl
|
--
叶
bo
加
图
see","pl
|
--
叶
bo
加
图
see",False,False,False,0.0,False,
90,p090-b06,body_text,"{""x"": 282, ""y"": 915, ""w"": 310, ""h"": 105}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p090-b06.png,,"|__|
|
=
LU
|_|",,"|__|
|
=
LU
|_|","|__|
|
=
LU
|_|",False,False,False,0.0,False,
90,p090-b07,dimension_note,"{""x"": 1905, ""y"": 921, ""w"": 132, ""h"": 132}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p090-b07.png,,"iy
%,",mmood≥,"iy
%,
mmood≥","iy
%,
mmood≥",True,False,False,0.28,False,
90,p090-b08,body_text,"{""x"": 100, ""y"": 1227, ""w"": 1386, ""h"": 312}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p090-b08.png,,"PHEMEPH
YE
MWY
HEWES
MEM
VRE
VE
SB
BUS
URES
VD:
BEE
ee
Ug","。财背此 文司效急坚」•
。女圆\或直娜叵。代飛叵不。刺鎏个一昙代碚甫辞背昙马萧辞本鍌效开•
芽本鍌效开","PHEMEPH
YE
MWY
HEWES
MEM
VRE
VE
SB
BUS
URES
VD:
BEE
ee
Ug
。财背此 文司效急坚」•
。女圆\或直娜叵。代飛叵不。刺鎏个一昙代碚甫辞背昙马萧辞本鍌效开•
芽本鍌效开","PHEMEPH
YE
MWY
HEWES
MEM
VRE
VE
SB
BUS
URES
VD:
BEE
ee
Ug
。财背此 文司效急坚」•
。女圆\或直娜叵。代飛叵不。刺鎏个一昙代碚甫辞背昙马萧辞本鍌效开•
芽本鍌效开",False,False,False,0.08,False,
90,p090-b09,body_text,"{""x"": 1524, ""y"": 1299, ""w"": 626, ""h"": 62}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p090-b09.png,,"ST
eS
RS
7
Reel
BME",,"ST
eS
RS
7
Reel
BME","ST
eS
RS
7
Reel
BME",False,False,False,0.0,False,
90,p090-b10,body_text,"{""x"": 1178, ""y"": 1303, ""w"": 315, ""h"": 42}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p090-b10.png,,"BBA
<soom’",,"BBA
<soom’","BBA
<soom’",False,False,False,0.0,False,
91,p091-b01,body_text,"{""x"": 243, ""y"": 351, ""w"": 259, ""h"": 52}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p091-b01.png,,"Sel
YB
SBS",醂甫辞 ［带,"Sel
YB
SBS
醂甫辞 ［带","Sel
YB
SBS
醂甫辞 ［带",False,False,False,0.0,False,
91,p091-b02,body_text,"{""x"": 879, ""y"": 351, ""w"": 196, ""h"": 52}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p091-b02.png,,"ATEN
SAE",,"ATEN
SAE","ATEN
SAE",False,False,False,0.0,False,
91,p091-b03,body_text,"{""x"": 1373, ""y"": 351, ""w"": 311, ""h"": 53}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p091-b03.png,,"Beaty)
BEM",财娃宝固-伏暗叠重,"Beaty)
BEM
财娃宝固-伏暗叠重","Beaty)
BEM
财娃宝固-伏暗叠重",False,False,False,0.08,False,
91,p091-b04,body_text,"{""x"": 1921, ""y"": 351, ""w"": 235, ""h"": 43}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p091-b04.png,,Beaky-l,「1- 暗叠重,"Beaky-l
「1- 暗叠重","Beaky-l
「1- 暗叠重",False,False,False,0.0,False,
91,p091-b05,dimension_note,"{""x"": 2415, ""y"": 352, ""w"": 237, ""h"": 42}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p091-b05.png,,Beahy-sk,x空-伏暗叠重,"Beahy-sk
x空-伏暗叠重","Beahy-sk
x空-伏暗叠重",True,False,False,0.28,False,
91,p091-b06,body_text,"{""x"": 241, ""y"": 573, ""w"": 160, ""h"": 32}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p091-b06.png,,"-==
二
~
a
==]",,"-==
二
~
a
==]","-==
二
~
a
==]",False,False,False,0.0,False,
91,p091-b07,body_text,"{""x"": 227, ""y"": 1010, ""w"": 202, ""h"": 34}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p091-b07.png,,"at
=",,"at
=","at
=",False,False,False,0.0,False,
91,p091-b08,body_text,"{""x"": 132, ""y"": 1252, ""w"": 2616, ""h"": 282}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p091-b08.png,,"CERRY
OSE
WW’
Elsa?
El
Ie
aAee’
YER’
SWRI
Swe
EE
Sel
SY
BT”
SEY
ERE’
DOUGH
SHEE
BEAST
REM
EY
MMS
Mee?
S
$B
YB
2388S
el","。麩本马纸帕好+好财常、好大、好平用［时甫辞。因空怎［1郧，劝娃宝固置母叵代暗叠重本
味。朱需帕妇假系员姜哀长变昌市具定膜司宝肃领，用刺开长下、本琳照单帕蓬宗个S比优何本时。弥国琳本单胜S由马辣B份「带
醂甫辞肜伏［带","CERRY
OSE
WW’
Elsa?
El
Ie
aAee’
YER’
SWRI
Swe
EE
Sel
SY
BT”
SEY
ERE’
DOUGH
SHEE
BEAST
REM
EY
MMS
Mee?
S
$B
YB
2388S
el
。麩本马纸帕好+好财常、好大、好平用［时甫辞。因空怎［1郧，劝娃宝固置母叵代暗叠重本
味。朱需帕妇假系员姜哀长变昌市具定膜司宝肃领，用刺开长下、本琳照单帕蓬宗个S比优何本时。弥国琳本单胜S由马辣B份「带
醂甫辞肜伏［带","CERRY
OSE
WW’
Elsa?
El
Ie
aAee’
YER’
SWRI
Swe
EE
Sel
SY
BT”
SEY
ERE’
DOUGH
SHEE
BEAST
REM
EY
MMS
Mee?
S
$B
YB
2388S
el
。麩本马纸帕好+好财常、好大、好平用［时甫辞。因空怎［1郧，劝娃宝固置母叵代暗叠重本
味。朱需帕妇假系员姜哀长变昌市具定膜司宝肃领，用刺开长下、本琳照单帕蓬宗个S比优何本时。弥国琳本单胜S由马辣B份「带
醂甫辞肜伏［带",False,False,False,0.08,False,
92,p092-b01,body_text,"{""x"": 1065, ""y"": 197, ""w"": 146, ""h"": 1}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p092-b01.png,,------.,,------.,------.,False,False,False,0.0,False,
92,p092-b02,dimension_note,"{""x"": 1255, ""y"": 297, ""w"": 499, ""h"": 214}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p092-b02.png,,"ou
RENEE
aps
|
Se
He
WES
EOE
E+","mm08≤廸宽麻瓣效
盖心［1
麻瓣好+葑遊瓞常","ou
RENEE
aps
|
Se
He
WES
EOE
E+
mm08≤廸宽麻瓣效
盖心［1
麻瓣好+葑遊瓞常","ou
RENEE
aps
|
Se
He
WES
EOE
E+
mm08≤廸宽麻瓣效
盖心［1
麻瓣好+葑遊瓞常",True,False,False,0.36,False,
92,p092-b03,dimension_note,"{""x"": 2136, ""y"": 331, ""w"": 610, ""h"": 180}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p092-b03.png,,"EERE
1\S+80um
S|
19S
bY
1
-一
He
WES
EOE
E+","mm08+早［1≤宽麻好
菇内 C
麻葑麰+瓣麰瓞常","EERE
1\S+80um
S|
19S
bY
1
-一
He
WES
EOE
E+
mm08+早［1≤宽麻好
菇内 C
麻葑麰+瓣麰瓞常","EERE
1\S+80um
S|
19S
bY
1
-一
He
WES
EOE
E+
mm08+早［1≤宽麻好
菇内 C
麻葑麰+瓣麰瓞常",True,False,False,0.36,False,
92,p092-b04,dimension_note,"{""x"": 346, ""y"": 381, ""w"": 529, ""h"": 115}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p092-b04.png,,"EWR
Sou
eee
Asi
BE
ERK
LES
ES","mm08≤宽麻效
麻瓣遊+瓣麰邗平","EWR
Sou
eee
Asi
BE
ERK
LES
ES
mm08≤宽麻效
麻瓣遊+瓣麰邗平","EWR
Sou
eee
Asi
BE
ERK
LES
ES
mm08≤宽麻效
麻瓣遊+瓣麰邗平",True,False,False,0.36,False,
92,p092-b05,body_text,"{""x"": 1257, ""y"": 889, ""w"": 183, ""h"": 20}",/Users/admin/Nutstore Files/我的坚果云/CODE/project/liangqin-skill/skill/liangqin-pricing/reports/addenda/designer-manual-2026-03-22/pdf-block-review-2026-03-24/block-images/p092-b05.png,,"a
-
|",,"a
-
|","a
-
|",False,False,False,0.0,False,
