page,block_id,normalized_text,display_text,manual_interpretation,manual_next_action,manual_source_file,manual_override_applied,matched_runtime,matched_audit,matched_rule_index,matched_review_note,best_match_target,best_match_title,best_match_score,coverage_status,reason
5,p005-b01,"原木定制三大误区
木材等级=选料水平=家具品质？
•当谈到木材的分级时，NHLA分等规则提供了一个基本的分类体系，用于确定木材的质量和适用性。然而，仅仅依靠木材分级是不足以达到
高品质家具所需的效果的。
•优秀的选料水平和严格的选料标准是生产优质家具的必要条件之一。
•在生产过程中，良禽在NHLA分等规则的基础上进一步扩展了选料的标准，并按照分级选料原则进行再精选，这意味着在已经达到特级标准
的木材基础上，通过更高的要求进行再次挑选。
•这种再挑选的目的是确保所选木材具有更高的一致性、更显著的美观度和更低的缺陷率。
•选料的水平和标准在家具制造中起着重要的作用，只有通过对每块木材进行仔细筛选，确保其颜色、纹理和质地的匹配，才能够保证最终
家具的品质。
•因此，木材等级≠选料水平≠家具品质，只有好的木材等级 + 优秀的选料水平 + 严格的选料标准才能保证好的家具品质。
ebkae
BRIER
Mit
WER
VWs
SEE
+
MRD
RRR
HEEN
So
Ka
SBME
SESE
SERRE
YEBOMEY
BERS’
MORRO’
PRK
EE
PSS
SSE
VARI
ae
SS
JX
eb
ARE
A
EB
SLE
SB”
MEE
BNC
IES
Se?
TY
Ss
KL
ENR
Ah’
PRUNE
RS
EPS
SSEUVOS
MH
PPLE
LER
Bee
Oe
ESE
BARE
ais
ME
oe
hs
See
TK
BRE
AS
ES
-°
°
ey
SB
se
Bs
Se
IPS
EYE]
Ded?
USE?
EK
MEIN
L-V
WERE
EA
OE
WH
(<
YEN
CRS
HE
EAI
oh
§
P=
¥
Xx
EWE
。品具定帕戎剁大郵称数帕严+平水数帕委+林木育只，贡品具定丰平兆煤丰艰等协木，出因•
。贰品帕具家
。率部 帕补更味 贩美帕菩显更，卦姪一帕高更 具妹木越祖剁县的目帕彭將再麻效•
。数将穴再云戡苯要高更女 ，土出基林木
郵林艰耕峰發与善和意 ，数献再己我顺 起艰代 并，郵称啪株数T 走一数土题基的财代AJHV玉禽，中郢故产主•
。一女#杀要心啵具家产主昙郵称株数帕严味平水数随委出•
。阳果姣帕需祖具定觅品高
心虽不昙退代协木靠对处处，而然。卦用味量贡帕林木宝舸干用，蔡本类代本基个一T期昇呗财等代AJHM，胡避帕林木峌炎•
S品具宏=平水株找=艰芸妹木＞
习 大三 宝木",原木定制三大误区；木材等级≠选料水平≠家具品质；强调需要好的木材等级、优秀选料水平和严格选料标准,该页继续解释木材等级与家具品质之间的认知关系，属于理念说明与品牌选料原则表达，没有稳定的可结构化报价规则句,保留背景说明记录，不入 runtime，不进入规则草稿层,p4-p5-manual-review.csv,True,False,False,False,True,manual_review,原木定制三大误区；木材等级≠选料水平≠家具品质；强调需要好的木材等级、优秀选料水平和严格选料标准,1.0,non_rule_background,该页继续解释木材等级与家具品质之间的认知关系，属于理念说明与品牌选料原则表达，没有稳定的可结构化报价规则句
6,p006-b01,"aR
RSA
GE
b
2°
WREBYTeowWW
SLKHINGHWS
ELEY
i
Bi
ACS
SSL
eww
SABRI
INE
SRI
A)
LI
¥HSRVESCOWW?
PMA
CLE
ws
AYS
eS’
SWAP
GHELE
YER
Aww
VMROSS
(WPF
BHMINES'
wets
we)
pany
FEL
BSL
C
ThE
Hina
SRR
YD¥SS
ivia
Rivse
VS+
DEMOS
BREE
CUI
EBLE
BA
aa
SEMEL
20OWW
wenw
>
WEB]
TE
LB
(eR
a3%)
COW
|
Pca
<
EHWE
RRR
RHEE
gow
BSH
SLSR
SORE
(TKR)
ACRE
OK
CAME)
ees
Sear
TM
Be
BH
YLTeWW
Bla
800”
Eo]
ol
Wy
ee
SPREAD
LBNT
EEE
MEL
SAS
Lecw?
vI
B
VR
IWWHAG
K
SLBA
ST
Sb
Sl
re)
cya
yes
Sats1H)
WEES
(IEE)
HWA
LS
(UE
(02
DKYVE
NEL
Lape
Te,
Bey
-S
RWW
ELEHVRH
EAE
2¥)?
SWE
ESBS
BereTecw
S)
Bete
easeSLeHH)
LRESS
(GREW
VRBGSS
(MSFT
BEHBRASAMKMBANE
(HEAR)
ISRO
AA
ROY
ARYRAVSUHVRl)
HOEK
wai)
sh
TERE
weil
SRE
aay
Bic
LE
he
ene
ele
(i
Ny
y
it
出
下
i)
WW
‘ey
itt
Pat
Ht)
208)
ar
ORR
(SV/\e
(LO)
(2)
(SM)
(SW2ee)
(Eee
Es)
(2m)
(BS)
(#20480)
Se)
(Se\e8)
SF
wig
+0
¥UR\
eee
et
aes
¥USR
ake
bed
¥E
EE
SR
ER
Sk
we
es
vr\vs\pic
v3+\vsiplc
W3+\vs\Bic
‘v5+\vs\Bic
VS\BAC
w\Bic
W\Bic
VS+\WSIBIC
VSIBIC
Eeevo
Lew
eh
ea
有
PRAM
嫌
(BBMBSS)
(KER)
CEEOKRR)
(
赶
(21S)
CEASE)
(85S)
(ae)
址
48)
国
碍
)
(KR)
(ESEE2)
(#8)
(BERS)
(¥RHSe)
Sy
¥SB
税
*
¥O\ER
¥BA\EE
半
¥R
Hee
Se
ae
¥B
aKeb
Esit
2
TSE
eet
Ye
NE
BB
I
NY
用郵暗内共必赤出
2.9
mmoa千大 宽动单
mm&千大维不助，欧 好不的一色本己母趟用势灿叵妹木类三激白、散白、游學
SA
（苯要岷好天）用卦炒时姓饲效料。mm0a≤ 宽效单协木
亮黑大消不母應助， 好不mm8女 天林木 肪黑
面贝叵不
（甲势叵不的東千彩够，围妻从叵朗曾息干曾）義母显朋天
幹諧不邮註
+SA
効橱草卡
钟热自部好，雞SA千致，雞「A千
煞 大女天
用面邮cmm0aT>用 心餅好饱效井mm08 竞宽效单
遊面虱蛀
（ E坛 骅不土料効越单）mm02 大 効单
mm2l大维不助，享 的一母本己母顽用蚧刈叵妹木类三缴白，散白、教婴
mm08>导不资效求单司麸（販美数钗）效菇水天，韵菇活来天，（彣水山）贩美翻效
効窬匚郧带姮
数面贝用卦面兴贝叵非omoa千叵吋娃产主因置恨个。d008那不出古效单始
IA
（遊）草牛开蛸
（用卦总叵帕母孢干送煎）家詳不mmal女鼓天株木将肺黑
mo21-0 宽：彭背 数郵动株处斑面贝叵。呗息始用郵株 露长用動产主。林木干
（母随京哉辞店）美母显即天
（用彭不的會東干粥，《淋肪黑）用刺刈叵的好水山热自显即育共总千我色贿）姜母显即天
数芯（顺财AJHM伏妹速木要国美）汆二普，飛一普，2A帕口美北用卦
岷难
邦邧株救
氓菇
必碚
318
3a
18
31日
用聲巧不
甲卦叵不
用効叵不
（硫辞）
（ 妹）
（口千炒类丝辣）
（黑台薅\ 菇水）
（麩青）
白黑
（斑亦烯壁）
（黑妹丝萍）
（母黑青始壁）
（可奈 不
（曾昇杂媒显朗）
（ 昇重可）
（送黑\母青）姜色
口菰干
姜母\活 木
善曲文木
好木
善曲
姜母
善母\ 設
归冰
效木
用顶干卸
DUBISAI+SA
DIaISA
DIAISA
JI8ISAIA
JIAISAI+SA
3IaISAI+SA
JIaISAI+SA
JIAISA
IAISA
IA\SA
用卦叵不
用勃叵不代公a干头
（斑萍算至）
（感吉大京寺心）
（彣熙水）
（彣斯水𨯪至）
（効鄭水）
（民放小 会限个）
（美曲母青烈）
（小葵哥冰）
（曲泉 兹居饼茶）
（𡢟至）
（黑莲丝莲）
（ 點水）
（ 黑）
（曲吴縣面大）
胡炄然天
获朗是，刺晶設证
旅曲
守證
咀冰
基色\妇木
\活效木
姜曲
木卦禽月",,,,,False,False,False,False,False,audit,N Ne i 5 —— Se A dare le |,0.0306,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
6,p006-b02,"sESL
BApBARD®
PPBGR?
WM:
PSL
)
YEYS¥
Ys
SS
LEYS
BAU
PAAR
RS
YATE
SL
BS
YS
NYS
sel
(SLMS:
SKVBRAMLIO
MIS?
SESE
EMER’
BR?
Ie
WSE2-
Mal
sl
S800”
LBW?
TOCA
LRT
MEL
se
ecw?
（。代暗啪面贝叵斜：面贝叵非。遊面量
育词：代暗 代靠神翮文对圓站马或発堡大文酥牛效开：对 又速面的或瓣坚大又马
om32干那消叵铸产主因置公限个。2008千升不出古菇单始m0上-己宽：林用司採",,,,,False,False,False,False,False,review_note,review_scope: p004b01、p005b01,0.0703,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
6,p006-b03,"SRM
RYLeoww
mm02 大 宽 单",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.1439,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
7,p007-b01,"amer
Expour
Yuew",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.158,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
7,p007-b02,"amcr
a
zeour
Eeecw
\",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.1879,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
7,p007-b03,四,,,,,False,False,False,False,False,,,0.0,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
7,p007-b04,"\
|",,,,,False,False,False,False,False,,,0.0,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
7,p007-b05,"~
CBWDEe
FAWBEB
EV
MOOD
KD
VANEBIGVV
WWELICAY
HALqmooge
@nige
¥
fo
nafaluaple
230AAD
AagMU
1OO NOAA-
MADIAJMA
2boowbipH nppismA
sldpniotzu2 ot sbiuD A",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.0833,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
7,p007-b06,"0
|",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.0611,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
7,p007-b07,"0
|
Bi]
4S
35
El
be
C98
9
南計木+剧国美製裁叵",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.1728,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
7,p007-b08,"图
于
美国
中
箬谷怵刘
本切图国美",,,,,False,False,False,False,False,audit,4英寸宽2英尺长。净划面数量根据板材的尺寸而定，,0.0166,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
7,p007-b09,"EY
ESTOS
Bl0VEMNA’
-BSS
RHYTHM
Sar
VHTVIS
SE
ESE
(8e!0Us]
Hskqwooq
Fnupek
yesoclsflou)
HAIYL?
WET
Lieseee*
VHTVEE
NVA)
EEN
LEVEN
RMS
(<
NS
HY
VWs
5
2-2
WHE
iil]
。瓯基代啪林财口出景且并郵斌寇国啪业云木t剧国美昙直一，曳讯帕手邊00r
白岘财套女，岘财代帕林财木動国美T宝 AJHM。手898 干立翅，麻萱店（noitBiooezA 19dmu」 boowb16H IsnoitsV）会 妹 木動国美县AJHM
SA十昙呗财代AJHM
AJHM",,,,,False,False,False,False,False,review_note,review_scope: p004b01、p005b01,0.0641,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
8,p008-b01,"了解NHLA分等规则
•板材在用于生产时，常被锯解成小块的净划材（面），而等级就是根据一块板材可锯解的小净划材（面）的尺寸和数量来
评定的。等级较高的木材能提供长度较长的净划材，普通级的木材则需经过再次锯解成短的净划材。
•NHLA分等规则规定了每一等级中所含净划材（面）、无缺陷材的可计量的百分比，
•高等级木材包括FAS、FAS单面 (FAS/1F)和特选级，普通级别的木材主要是普1级 (No.1C)和普2A级 (No.2AC)。
•值得注意的是，经过二次锯解后的普通级木材同样会获得与高等级木材一样的净划材，只不过这种净划材的尺寸规格较小
（短一些或者窄一些）。因此，
NHLA分等规则
dea
bss
RoE
WEES
RIMES
SM
-im)
aes
(E)
(¥5-TtREK
Pal
E@FENS
HV
EYVAEHROKS
PSSYVA--HH
e
ARR
SAVER
EMR
SMA
SAA
YN
EM
ReS’
SRI
SveY
°
BAW
GHeve’
Sud
ABW
HMVCWESe
EVeH
Me
(EVe\JE)
(Wo
IC)
(No
SyC)
REMNYVREVISE
EPR
CREAMER
WN
MIE
PWS
Ve
LES
(CB)
三
’
I
WH
§
yl
TNS
SRR
SHIN:
REV
MER?
SYMSNVAREHKER
MSY
KASS
*
UU
See
SPS
4}
he
(CD
WA
RSA
SY
Pa]
BG
cid’
BR
as
SS
CID)
MS
-
(<
LRH
VS
il]
Vd
iil]
。量贡贩伦暗全素升非而，宝别啵岭出（面）协中协妹饭昙只麻子难差，出因。（些一寄青怎些一跃）
。热巷干不亦哉然天帕丽美送
中木動坏，胡刚出林 魅于莫长班.出百量长叵帕协翻 天，（面）林岐祖中一每T宝财顺财代AJHM•
。林岐帕豉知输水再發需呗协木 普，妹头妹妹木高等。宝平
呗财袭代AJHM输T
呗财袭伶AJHM",,,,,False,False,False,False,False,audit,4英寸宽2英尺长。净划面数量根据板材的尺寸而定，,0.0437,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
9,p009-b01,"BEEZ
本
8
=f
Sd
Mes
be
MORALE
\3
VAR
PH
D
x""
Fr
一
00
JS
""8
'S
ooel28戊小至率林出面哎毫土面进差妹：玉",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.1076,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
9,p009-b02,"Wis
BAM)
SE
Pew
Eevee
i
wt
x
BAKEME
ESSE
MOMMA
YIM
MOM
LK
WAS
ANMSM
RAW
YSU
WANN
YL
(IONSFfHe)
2eM4’
BNOORM-WINW?
KEYLMSLOM
WANS
MBAWN
(HRA
EES)
SBA)
Wea
B3nk
SY
ERK
(bE!
IX-SWb
441
MEK’
Wee
«SWS
SRO
SMENVA?
MEME)
SeayYieS
escouge)
her
Wd
,,
EV2
e
(<
LUVHTY
eam
V2)
Hil]
WHE
。朱要孙最帕雞铲2A7宝萧需以面责个两帕林效。出变育会郵芯小量啪宽头妹财，野妆
干大宽县七小录面。林木帕面收妹期，帕来女变寅中退一“（ebnooee bnA feyi）二味一”来从昙2A
呗财仓AJH/输T
呗财窖贷AJHM",,,,,False,False,False,False,False,audit,N Ne i 5 —— Se A dare le |,0.0652,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
9,p009-b03,SS,,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.0579,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
9,p009-b04,"Ee
ee
st",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.1913,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
10,p010-b01,"Be
SSK
IX
HS)?
MRE
Y
Iie
ap”
ERA
Lx
|
SRW
Ae
Peeve
SY
KEYLSi#L
-
WH
(eetecrey
e
。只英。干干大 ，t英A干大 宽林财书代鸡数耕。同眯本大鸡面单2A刁0土刷突林麻帕飛一交，心同不浓要酥贼心量面对饭T斜
（aJoal82）避蛓。",,,,,False,False,False,False,False,review_note,review_scope: p004b01、p005b01,0.0815,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
10,p010-b02,"IX-SY
SS”
Se
WORSE
ee
aK
HVA
BS
MLVeS
WH
PARA
BG
A
TE
ch
LK
ELS
BY
°
Eve
Hl
外
vem
)
(上
e
。朱要祖帕中I普宝萧心面帕姜妹而。朱要育祖2A宝萧恋必面一啪戎妹协对。影艰2A味常 协木𢞵一效
（3）面单2A。",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.0975,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
10,p010-b03,"(<
LREVHI
Ail
VS
V2)
Hil]
WHE
岘贼要代AJHV输T
岘贼代AJHM",,,,,False,False,False,False,False,review_note,p30 · REUSE WIAD’ Mc A MTSE IM SET °,0.1654,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
11,p011-b01,"-_-_-_-_-_-
Se
一
EE
ole
WBA
he
EUS
OSS
WS
Vive
Baie
BY
Sve
ES
4
厂8L
'sr
。避数并怎面单2A司成l娇叵育丕，雞I普 友面善妹而郵林雞2A引面帕致妹中协效果哎：我",,,,,False,False,False,False,True,review_note,p11 · 4英寸宽2英尺长。净划面数量根据板材的尺寸而定，,0.35,covered_non_runtime,当前块内容已被审计层、规则索引或复核结论文档覆盖。
11,p011-b02,让,,,,,False,False,False,False,True,review_note,p11 · 4英寸宽2英尺长。净划面数量根据板材的尺寸而定，,0.35,covered_non_runtime,当前块内容已被审计层、规则索引或复核结论文档覆盖。
11,p011-b03,_,,,,,False,False,False,False,True,review_note,p11 · 4英寸宽2英尺长。净划面数量根据板材的尺寸而定，,0.35,covered_non_runtime,当前块内容已被审计层、规则索引或复核结论文档覆盖。
11,p011-b04,"有
NN
|
8
过
ee
S「-",,,,,False,False,False,False,True,review_note,p11 · 4英寸宽2英尺长。净划面数量根据板材的尺寸而定，,0.35,covered_non_runtime,当前块内容已被审计层、规则索引或复核结论文档覆盖。
11,p011-b05,"IBY
WE”
ee
Se
SS
VRAMSM
GR?
SR
ES
°
cfs
VER
RISS
ak?
(NSfba)
SIEVE
REL?
SU
PA
VS
BE]
EHP
ANS
BSH
HAS
4
aR
BE
sa
5
(MO
IC)
e
(<
AL
WEVHTV
Yl
2)
il
MHI
。朱要孙最恐/普宝萧愈必面两协对，宝而女兄帕林对甜射量楼面I审。头兄英S宽七英A
（O.OV）恐懵．
呗财套代AJHM输T
呗贱奢代AJHM",,,,,False,False,False,False,True,review_note,p11 · 4英寸宽2英尺长。净划面数量根据板材的尺寸而定，,0.35,covered_non_runtime,当前块内容已被审计层、规则索引或复核结论文档覆盖。
11,p011-b06,"338-4
LS",,,,,False,False,False,False,True,review_note,p11 · 4英寸宽2英尺长。净划面数量根据板材的尺寸而定，,0.35,covered_non_runtime,当前块内容已被审计层、规则索引或复核结论文档覆盖。
12,p012-b01,"|
NN
8
us
_
ALvex
Rove
MEANS
MHRA
a
WUSSO
vr
EF
SI
Ss
=
4
加
SN
""'S.
。AS普此飛萼附林财赶，憨AS思面善妹而菇I普怎2Ai峰去面致妹果哎：玉",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.1111,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
12,p012-b02,"SS
a
冖∞",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.1048,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
12,p012-b03,"Rel
2OebK
aVWIMECEK
4A
S344
MEMREY
PWS?
PRBMENSYYYX
WHES
DY
RY
ch
BS
7]
REV
RELG
HC?
W
SHAPE
RAS
EI
OOR
HCC
ak
CYL
(Nbe)
SIM
EI)?
ESV
|
HAY
LY
SS
KIRA
BV
Ver
SRSVES
(Wo
SVC)
e
(<
Pi
ABMS
il
Ac
Nl
•T要梨关天線鸡啪识面玻妹，浓要最帕飛AS普 面姜最果味。县而小大面因量楼， 兄英S宽七英8昙七兄
（OAS.oM）雞AS普•
呗财代AJH/输T
呱贼 AJHM",,,,,False,False,False,False,False,audit,REUSE WIAD’ Mc A MTSE IM SET °,0.1031,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
13,p013-b01,">
a
也
再
当道
齏协
杀畔j",,,,,False,False,False,False,False,review_note,p20 · N Ne i 5 —— Se A dare le |,0.0407,non_rule_background,当前块未体现稳定规则信号，更接近背景说明或噪声。
